tablename;table_translated;attnum;field;comment;field_translated;comment_translated
capture_etat;catch_state;1;capture_etat_id;;catch_state_id;
capture_etat;catch_state;2;capture_etat_libelle;;catch_state_name;
capture_mode;catch_method;1;capture_mode_id;;catch_method_id;
capture_mode;catch_method;2;capture_mode_libelle;;catch_method_name;
capture_type;catch_type;1;capture_type_id;;catch_type_id;
capture_type;catch_type;2;capture_type_libelle;;catch_type_name;
ciem;ices;1;ciem_id;;ices_id;
ciem;ices;2;ciem_libelle;;ices_name;
dbparam;;1;dbparam_id;;;
dbparam;;2;dbparam_name;Name of the parameter;;
dbparam;;3;dbparam_value;Value of the parameter;;
dbversion;;1;dbversion_id;;;
dbversion;;2;dbversion_number;Numero de la version;;Number of the version
dbversion;;3;dbversion_date;Date de la version;;Date of the version
declaration;declaration;1;declaration_id;Identifiant de la capture.;;Identifier of the catch
declaration;declaration;2;statut_id;;status_id;
declaration;declaration;3;capture_mode_id;;catch_method_id;
declaration;declaration;4;capture_type_id;;catch_type_id;
declaration;declaration;5;engin_type_id;;engine_type_id;
declaration;declaration;6;espece_id;Identifiant de l'espèce;species_id;Species identifier
declaration;declaration;7;capture_etat_id;;catch_state_id;
declaration;declaration;8;devenir_id;;become_id;
declaration;declaration;9;capture_date;Date de capture.;catch_date;Date of the catch
declaration;declaration;10;annee;Année de pêche;year;Fishing year
declaration;declaration;11;nombre_capture;Nombre d'individu capturés;caught_number;
declaration;declaration;12;capture_date_estimee;Estimation de la date de capture.;estimated_catch_date;Estimation of catch date
declaration;declaration;13;engin_maille;Maille du filet, le cas échéant;engine_mesh;Mesh size, if applicable
declaration;declaration;14;espece_ciblee;Espece normalement ciblée lors de la pêche.;target_species;Species normally targeted during fishing
declaration;declaration;15;profondeur;Profondeur de pêche, en mètres;depth;Fishing depth, in meters
declaration;declaration;16;prof_min;Profondeur minimum de pêche, en mètres;depth_min;Minimum fishing depth, in meters
declaration;declaration;17;prof_max;Profondeur maximale de pêche, en mètres;depth_max;Maximum fishing depth, in meters
declaration;declaration;18;lt_min;longueur totale minimale, en mm;length_min;Minimum length, in mm
declaration;declaration;19;lt_max;Longueur totale maximale, en mm;length_max;Maximum length, in mm
declaration;declaration;20;masse_min;Masse minimale en kg;weight_min;Minimum weight, in kg
declaration;declaration;21;masse_max;Masse maximale en kg;weight_max;Maximum weight, in kg
declaration;declaration;22;pecheur_code;Code du pêcheur;fisherman_code;fisherman’s code
declaration;declaration;23;interlocuteur;Autre interlocuteur;contact;Other contact
declaration;declaration;24;interlocuteur_coord;Coordonnées de l'autre interlocuteur;contact_coordonates;Coordonates of the other contact
declaration;declaration;25;navire_port;Port d'attache du navire de pêche;harbour_boat;Home harbour of fishing vessel
declaration;declaration;26;declaration_mode;;;
declaration;declaration;27;observation;Observations générales;remarks;General remarks
declaration;declaration;28;manipulation;Manipulation post-capture du lot capturé;handling;Post-capture handling of the captured batch
declaration;declaration;29;qualite_identification;"0 : identification de l'espèce incertaine
1 : identification sûre";identification_quality;"0: species identification uncertain
1: identification certain"
devenir;become;1;devenir_id;;becom_id;
devenir;become;2;devenir_libelle;;become_name;
document;;1;document_id;;;
document;;2;mime_type_id;;;
document;;3;document_date_import;;;
document;;4;document_nom;Nom d'origine du document;document_name;Original name of the document
document;;5;document_description;Description libre du document;;Description of the document
document;;6;data;;;
document;;7;size;;;
document;;8;thumbnail;;;
document;;9;individu_id;;;
engin_type;engine_type;1;engin_type_id;;engine_type_id;
