tablename;description;table_translated;comment_translated
capture_etat;Table des états à la capture;capture_state;Table of capture status
capture_mode;Mode de capture des poissons;capture_method;Method of capturing fish
capture_type;Type de capture (professionnelle, amateur, scientifique...);origin;Origin of the capture (commercial, recreational, scientific)
ciem;Table des zones de peche CIEM;ices;Table of ICES fishing zones
dbparam;Table of parameters intrinsically associated to the instance;;
dbversion;Table des versions de la base de donnees;;Table of database versions
declaration;Informations liées à la déclaration.;;Information relating to the declaration
devenir;Devenir des esturgeons capturés;fate;Fate of sturgeon caught
document;Documents numériques rattachés à un poisson ou à un événement;;Numeric documents relating to a fish or an event
engin_type;Table des engins utilisés;gear_type;Table of gears
espece;;species;
estuaire_area;;estuary_area;
evenement;;event;
evenement_type;Types d'événements possibles sur une déclaration;event_type;Types of possible events on a declaration
individu;;fish;
localisation;;location;
milieu;Table des milieux;environment;Table of environment
milieu_detail;Milieu détaillé;environment_detail;Environment detail
mime_type;Table des types mime, pour les documents associés;;Table of mime types for associated documents
pays;Pays de pêche;country;Fishing country
precision;Précision de la localisation du point GPS;accuracy;Accuracy of GPS point location
presence_marque;Table des types de présence de marque (présent, non signalé, absent);tag_presence;Table of tag presence types (present, not indicated, absent)
request;Request table in database;;
statut;Table des statuts de la déclaration;status;Declaration status table
